policy_name	mode	seed	count	length	task_progress	weighted_score
baseline_10M	pvp	1	2875	113.036870	0.057293	7.711149
baseline_10M	pvp	12196392	2856	113.172619	0.053504	6.621138
baseline_10M	pvp	19525770	2856	111.803221	0.051267	7.079278
baseline_10M	pvp	28034063	2891	113.072639	0.058612	6.802867
baseline_10M	pvp	31128942	2896	113.251036	0.049771	6.449095
baseline_10M	pvp	42720373	2856	112.990896	0.049595	6.890654
baseline_10M	pvp	47914166	2856	115.503151	0.061916	7.388279
baseline_10M	pvp	97868113	2856	112.744048	0.052768	7.327276
baseline_10M	pvp	99672462	2879	111.319208	0.047929	6.403828
baseline_10M	pvp	99910280	2856	111.749300	0.048945	7.105112
learner	pvp	1	417	33.431655	0.007722	1.593511
learner	pvp	12196392	408	34.080882	0.007041	1.788326
learner	pvp	19525770	408	32.973039	0.008720	1.594650
learner	pvp	28034063	420	32.695238	0.012624	1.329694
learner	pvp	31128942	419	32.730310	0.009790	1.354010
learner	pvp	42720373	408	34.433824	0.015673	1.462101
learner	pvp	47914166	408	32.987745	0.007112	1.603758
learner	pvp	97868113	408	32.691176	0.019604	1.616171
learner	pvp	99672462	419	34.639618	0.013562	1.788460
learner	pvp	99910280	408	33.882353	0.004185	1.365756
takeru_100M	pvp	1	2882	250.350104	0.121535	15.618457
takeru_100M	pvp	12196392	2856	271.406162	0.144111	16.949041
takeru_100M	pvp	19525770	2856	252.528361	0.125749	16.176245
takeru_100M	pvp	28034063	2876	245.837969	0.120900	14.367364
takeru_100M	pvp	31128942	2875	256.180870	0.121279	15.395644
takeru_100M	pvp	42720373	2856	262.454832	0.123755	15.880736
takeru_100M	pvp	47914166	2856	253.642157	0.114422	14.218429
takeru_100M	pvp	97868113	2856	239.824230	0.120914	14.178165
takeru_100M	pvp	99672462	2869	271.960962	0.131653	17.312564
takeru_100M	pvp	99910280	2856	249.379552	0.127160	14.150382
takeru_200M	pvp	1	2875	316.104000	0.151924	18.709205
takeru_200M	pvp	12196392	2856	339.818978	0.151841	20.426849
takeru_200M	pvp	19525770	2856	316.747199	0.139267	18.577009
takeru_200M	pvp	28034063	2881	324.179104	0.151727	19.935177
takeru_200M	pvp	31128942	2880	335.050347	0.158917	21.702642
takeru_200M	pvp	42720373	2856	324.113445	0.155242	21.043062
takeru_200M	pvp	47914166	2856	337.428221	0.152481	20.125692
takeru_200M	pvp	97868113	2856	334.341737	0.152232	19.192452
takeru_200M	pvp	99672462	2864	328.941341	0.155119	18.984392
takeru_200M	pvp	99910280	2856	323.931723	0.140493	17.695197
takeru_25M	pvp	1	2884	180.718100	0.089929	11.114902
takeru_25M	pvp	12196392	2856	177.607143	0.099868	10.870050
takeru_25M	pvp	19525770	2856	197.280462	0.100289	12.289034
takeru_25M	pvp	28034063	2877	181.195342	0.086204	11.439433
takeru_25M	pvp	31128942	2876	183.363004	0.094024	11.418434
takeru_25M	pvp	42720373	2856	175.254902	0.093796	11.112426
takeru_25M	pvp	47914166	2856	185.682073	0.101088	12.007849
takeru_25M	pvp	97868113	2856	180.685924	0.086907	11.268605
takeru_25M	pvp	99672462	2867	191.282874	0.097065	13.397202
takeru_25M	pvp	99910280	2856	180.972339	0.091033	11.780795
takeru_50M	pvp	1	2880	187.513194	0.094340	11.108544
takeru_50M	pvp	12196392	2856	183.173319	0.085969	9.765318
takeru_50M	pvp	19525770	2856	195.420868	0.088209	10.601355
takeru_50M	pvp	28034063	2882	189.238376	0.102966	11.641201
takeru_50M	pvp	31128942	2877	190.757039	0.088876	10.537141
takeru_50M	pvp	42720373	2856	204.296569	0.095444	11.299242
takeru_50M	pvp	47914166	2856	187.340336	0.092127	11.501803
takeru_50M	pvp	97868113	2856	200.723389	0.098814	12.097092
takeru_50M	pvp	99672462	2871	190.401254	0.089566	10.872617
takeru_50M	pvp	99910280	2856	204.198529	0.103643	13.027134
yaofeng_100M	pvp	1	2873	521.517229	0.213351	28.023256
yaofeng_100M	pvp	12196392	2856	522.893908	0.215434	29.544247
yaofeng_100M	pvp	19525770	2856	522.175420	0.213550	27.830269
yaofeng_100M	pvp	28034063	2876	521.185327	0.218254	27.658662
yaofeng_100M	pvp	31128942	2863	524.315403	0.216067	28.792953
yaofeng_100M	pvp	42720373	2856	523.355392	0.217156	29.740841
yaofeng_100M	pvp	47914166	2856	519.951331	0.206967	28.194194
yaofeng_100M	pvp	97868113	2856	527.612745	0.215622	31.332508
yaofeng_100M	pvp	99672462	2861	530.077945	0.221404	29.723764
yaofeng_100M	pvp	99910280	2856	505.139006	0.200635	26.478715
yaofeng_200M	pvp	1	2867	604.292640	0.257036	33.722996
yaofeng_200M	pvp	12196392	2856	631.487045	0.264420	33.374962
yaofeng_200M	pvp	19525770	2856	606.517157	0.252681	33.309315
yaofeng_200M	pvp	28034063	2867	610.524939	0.251194	32.512235
yaofeng_200M	pvp	31128942	2865	631.468063	0.263421	34.195978
yaofeng_200M	pvp	42720373	2856	621.339986	0.268310	34.821742
yaofeng_200M	pvp	47914166	2856	631.818277	0.268357	35.441499
yaofeng_200M	pvp	97868113	2856	607.034664	0.255898	35.460509
yaofeng_200M	pvp	99672462	2864	608.230098	0.265366	34.140322
yaofeng_200M	pvp	99910280	2856	605.400210	0.259645	34.211521
yaofeng_25M	pvp	1	2886	305.388080	0.129862	18.244865
yaofeng_25M	pvp	12196392	2856	313.843137	0.129536	18.494977
yaofeng_25M	pvp	19525770	2856	303.464286	0.137456	18.455156
yaofeng_25M	pvp	28034063	2884	312.892510	0.138521	19.129880
yaofeng_25M	pvp	31128942	2871	315.831766	0.144807	21.178642
yaofeng_25M	pvp	42720373	2856	299.599090	0.130901	18.187198
yaofeng_25M	pvp	47914166	2856	323.201681	0.151005	21.174788
yaofeng_25M	pvp	97868113	2856	316.847339	0.144221	18.992866
yaofeng_25M	pvp	99672462	2868	319.894003	0.145005	20.106129
yaofeng_25M	pvp	99910280	2856	310.024860	0.139246	18.866955
yaofeng_50M	pvp	1	2878	372.162265	0.163365	21.912547
yaofeng_50M	pvp	12196392	2856	389.990196	0.162783	21.662320
yaofeng_50M	pvp	19525770	2856	380.175770	0.163746	22.486598
yaofeng_50M	pvp	28034063	2876	398.583102	0.162805	23.229189
yaofeng_50M	pvp	31128942	2868	387.937238	0.168452	22.369273
yaofeng_50M	pvp	42720373	2856	403.100490	0.174496	24.020460
yaofeng_50M	pvp	47914166	2856	400.049020	0.163483	24.476792
yaofeng_50M	pvp	97868113	2856	379.010154	0.172073	21.580274
yaofeng_50M	pvp	99672462	2867	392.014301	0.171406	22.375796
yaofeng_50M	pvp	99910280	2856	395.121499	0.169452	22.586875
